RegionID,SizeRank,RegionName,RegionType,State,Metro,CountyName,Rent
6181,0,New York,city,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,3643.40714437756
12447,1,Los Angeles,city,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2761.63984045728
39051,2,Houston,city,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1528.13050827428
17426,3,Chicago,city,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2191.32430670906
6915,4,San Antonio,city,TX,"San Antonio-New Braunfels, TX",Bexar County,1333.87994958215
13271,5,Philadelphia,city,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1700.97766751295
40326,6,Phoenix,city,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,1560.60906005199
18959,7,Las Vegas,city,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,1694.23991298118
54296,8,San Diego,city,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,2906.94756605314
38128,9,Dallas,city,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1577.64136680283
10221,10,Austin,city,TX,"Austin-Round Rock-Georgetown, TX",Travis County,1537.66089476951
33839,11,San Jose,city,CA,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,3234.68033791703
25290,12,Jacksonville,city,FL,"Jacksonville, FL",Duval County,1565.7581260737
24043,13,Charlotte,city,NC,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,1698.92462341743
32149,14,Indianapolis,city,IN,"Indianapolis-Carmel-Anderson, IN",Marion County,1359.07891590733
18172,15,Fort Worth,city,TX,"Dallas-Fort Worth-Arlington, TX",Tarrant County,1560.85121529957
13121,16,Orlando,city,FL,"Orlando-Kissimmee-Sanford, FL",Orange County,1864.66486930959
20330,17,San Francisco,city,CA,"San Francisco-Oakland-Berkeley, CA",San Francisco County,3665.95653794546
7481,18,Tucson,city,AZ,"Tucson, AZ",Pima County,1400.59709422003
10920,19,Columbus,city,OH,"Columbus, OH",Franklin County,1387.96772084341
12700,20,Miami,city,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,2939.15625821368
12455,21,Louisville,city,KY,"Louisville/Jefferson County, KY-IN",Jefferson County,1340.36651404119
17933,22,El Paso,city,TX,"El Paso, TX",El Paso County,1475.29545380523
11093,23,Denver,city,CO,"Denver-Aurora-Lakewood, CO",Denver County,1832.72832663292
16037,24,Seattle,city,WA,"Seattle-Tacoma-Bellevue, WA",King County,2182.20179607913
13373,25,Portland,city,OR,"Portland-Vancouver-Hillsboro, OR-WA",Multnomah County,1721.60862573608
6118,26,Nashville,city,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,1762.7492271016
41568,27,Washington,city,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,2402.17051485572
20288,28,Sacramento,city,CA,"Sacramento-Roseville-Folsom, CA",Sacramento County,2039.46017014936
44269,29,Boston,city,MA,"Boston-Cambridge-Newton, MA-NH",Suffolk County,3589.46385761322
17762,30,Detroit,city,MI,"Detroit-Warren-Dearborn, MI",Wayne County,1300.37672038116
26529,31,Pittsburgh,city,PA,"Pittsburgh, PA",Allegheny County,1590.36705389796
23429,32,Albuquerque,city,NM,"Albuquerque, NM",Bernalillo County,1473.67839055378
32811,33,Memphis,city,TN,"Memphis, TN-MS-AR",Shelby County,1217.11302191559
18203,34,Fresno,city,CA,"Fresno, CA",Fresno County,1694.65886448248
3523,35,Baltimore,city,MD,"Baltimore-Columbia-Towson, MD",Baltimore City,1719.96283836715
40152,36,Omaha,city,NE,"Omaha-Council Bluffs, NE-IA",Douglas County,1385.2984737274
